Name,ELO
dvaaaa,833
northweast,758
Joel QO,704
Ownards,688
-Alucard-,688
patcher,686
Mr Fool,670
damiaf,654
Sami1998,638
Coriaceo,636
Godalec,627
ertruji,620
CoolStoryBro,608
XRPharmacist,600
Loulou131313,599
edwardytlo2,593
cip123,588
vikkt,588
Mahowrath,585
Avery Su,570
Virush,563
deszczyk,563
mg68,558
PREDATOR79,556
solc,556
kspttw,554
OutOf,551
slywww2020,550
GobertttOnTheMove,548
5u1,546
Krouete,544
Miles Davis,539
RDDTZ,538
brzytwa,530
Chadmild,530
THE_HUMAN_CENTIPEDE,530
02144936,527
Knight of Moon,513
MGLô,511
SDFSDF,508
FreshPrinceEric,507
sosleepy27,505
Sudoku,497
Alex_Caux,497
Tim Danke,493
best7185,488
GiocatGeneric,485
jebach_,476
RicardoJorgeGomes,475
MatMat8501,475
HoonDochA,474
Mathias0815,474
Teo21,472
joojoo5001,472
gabriele ro,471
opyy,468
BG2023,467
Rusl,464
RVJ1965,464
not,462
GreenA,461
tom3939,459
dastak,457
NRCmeSmiling,456
TwentyandOne,454
Grezza91,452
Ahmed Khonsu,452
peeka-peeka-bo,451
constigabriel,451
Goberttt,450
thierry_id,449
cur ego hic sum,445
SOLFAREMI,443
Fancy_Fence,436
space cowboy aska,436
Caro Co,435
corneliuscastoriadis,434
drilaer,430
Azertyu1234567,428
roppou,427
Yogi194,426
Alchemikaz,425
Lantier E,423
HappyKiwi,421
Nierin,420
oreko,420
scradon001,416
choleHuss,415
lasers,414
Hienhien,411
Red dress,409
Quoridor Addict,405
wickedbad,405
superlode,404
wwwsssooo,403
EB Sandberg,403
anonymousG,402
PastMaster,398
ka2718,398
Akuma21,397
quoaitoma,396
aaabcdefg910,395
JeffCgames,392
FelinChat,390
Tlaltecuhtli,389
TSUKASA777,389
Brocotator,388
Julienaba,385
Gamer2017,384
alireza1377,382
junnie5,381
JayAttticus,380
KwADwO,380
J34n,379
sabba88,379
cncn,375
TheGameFighter,374
Gamblecat,374
edwardytlomso,373
stupka,373
WOE567,370
hot  dog,370
roller35,369
Quoridor AI,369
King D,369
Sulander,366
lazoil,364
Thaiago Talker,364
CrazyKS,364
Yevgueni,363
guest_,360
kikikannri77,359
Qukumatz,358
mjkh,357
popcorn5009,356
jjoorrggee,355
Ogdan,354
QuoridorMachine,353
Naxx,351
pueru,351
Frost_0,351
the  shadow,351
relax23477,350
bobv,349
tami361,349
sai27182,346
Tristri,345
CaoCao70,345
fish100kg,344
dontworrybecrazy,344
Osty007,343
ueueue21,342
inoppie,342
sidhcihwdcbwudbcuwi,341
